sentence,disease
"These days I feel dark urine, diarrhoea, loss of appetite and yellowing of eyes.",hepatitis A
"These days I feel itching, vomiting, nausea, yellowish skin and abdominal pain.",Chronic cholestasis
"Troubled by irritability, blurred and distorted vision, visual disturbances, headache and acidity lately.",Migraine
"My body is showing signs of malaise, fatigue and breathlessness.",Pneumonia
"I’ve had abdominal pain, receiving blood transfusion and malaise for a few days.",Hepatitis B
"I think I’m having skin rash, spotting  urination, itching, stomach pain and burning micturition.",Drug Reaction
"Recently, I noticed excessive hunger, blurred and distorted vision, restlessness and increased appetite.",Diabetes 
"I feel discomfort due to phlegm, fatigue, swelled lymph nodes and redness of eyes.",Common Cold
I'm experiencing symptoms like high fever and chills.,Pneumonia
"Recently, I noticed high fever and chills.",Malaria
"Troubled by joint pain, abdominal pain and loss of appetite lately.",Hepatitis D
I can’t fully straighten my arms due to joint stiffness.,Arthritis
"I have been suffering from dizziness, lack of concentration, loss of balance and headache.",Hypertension 
"Symptoms such as abdominal pain, stomach bleeding and joint pain are bothering me.",Hepatitis E
"I think I’m having pain in anal region, irritation in anus and bloody stool.",Dimorphic hemmorhoids(piles)
"I think I’m having prominent veins on calf, bruising and obesity.",Varicose veins
"I have been suffering from irritation in anus, pain during bowel movements and pain in anal region.",Dimorphic hemmorhoids(piles)
"These days I feel chest pain, vomiting, breathlessness and sweating.",Heart attack
"I think I’m having muscle wasting, patches in throat and high fever.",AIDS
"My body is showing signs of nausea, abdominal pain, joint pain, dark urine and yellowing of eyes.",Hepatitis D
I feel discomfort due to pain during bowel movements and constipation.,Dimorphic hemmorhoids(piles)
"I'm experiencing symptoms like headache, fatigue, anxiety and nausea.",Hypoglycemia
"Recently, I noticed yellowish skin and vomiting.",Chronic cholestasis
"I feel discomfort due to chills, high fever, constipation, headache and toxic look (typhos).",Typhoid
"I feel discomfort due to pain in anal region, bloody stool, constipation and pain during bowel movements.",Dimorphic hemmorhoids(piles)
I have been suffering from breathlessness and vomiting.,Heart attack
"I'm experiencing symptoms like continuous feel of urine, bladder discomfort and foul smell of urine.",Urinary tract infection
"Recently, I noticed skin rash, yellow crust ooze, high fever and blister.",Impetigo
"Symptoms such as breathlessness, fatigue, cough, mucoid sputum and family history are bothering me.",Bronchial Asthma
"Troubled by ulcers on tongue, vomiting, stomach pain and chest pain lately.",GERD
"I think I’m having nausea, yellowing of eyes and dark urine.",hepatitis A
I'm experiencing symptoms like dischromic  patches and itching.,Fungal infection
"I’ve had swelling joints, neck pain, painful walking, hip joint pain and knee pain for a few days.",Osteoarthristis
I feel discomfort due to vomiting and headache.,Malaria
I'm experiencing symptoms like itching and abdominal pain.,Chronic cholestasis
"I have been suffering from blood in sputum, swelled lymph nodes and fatigue.",Tuberculosis
My body is showing signs of lethargy and excessive hunger.,Diabetes 
"Troubled by yellowish skin, high fever and vomiting lately.",Jaundice
"Troubled by depression, weight gain, fatigue, cold hands and feets and mood swings lately.",Hypothyroidism
"I have been suffering from puffy face and eyes, depression and enlarged thyroid.",Hypothyroidism
I feel discomfort due to palpitations and irritability.,Hypoglycemia
"These days I feel spotting  urination, itching, stomach pain and skin rash.",Drug Reaction
"Symptoms such as bloody stool, constipation and pain in anal region are bothering me.",Dimorphic hemmorhoids(piles)
"Troubled by blackheads, skin rash and pus filled pimples lately.",Acne
"Recently, I noticed yellow urine, receiving unsterile injections, yellowish skin, yellowing of eyes and abdominal pain.",Hepatitis B
"Troubled by stiff neck, headache and depression lately.",Migraine
I'm experiencing symptoms like itching and stomach pain.,Drug Reaction
These days I feel breathlessness and sweating.,Heart attack
"I have been suffering from breathlessness, vomiting and chest pain.",Heart attack
Troubled by mucoid sputum and fatigue lately.,Bronchial Asthma
"Troubled by weakness in limbs, dizziness and loss of balance lately.",Cervical spondylosis
"These days I feel unsteadiness, vomiting and loss of balance.",(vertigo) Paroymsal  Positional Vertigo
"My body is showing signs of small dents in nails, joint pain, skin rash, skin peeling and inflammatory nails.",Psoriasis
"Symptoms such as loss of balance, dizziness and neck pain are bothering me.",Cervical spondylosis
"I have been suffering from chest pain, vomiting and sweating.",Heart attack
"Troubled by high fever, skin rash, yellow crust ooze and blister lately.",Impetigo
"I feel discomfort due to internal itching, passage of gases, abdominal pain, vomiting and indigestion.",Peptic ulcer diseae
"I feel discomfort due to vomiting, back pain, muscle pain, red spots over body and chills.",Dengue
My body is showing signs of knee pain and neck pain.,Osteoarthristis
"I think I’m having abdominal pain, loss of appetite and itching.",Hepatitis B
"I feel discomfort due to fatigue, cough, mucoid sputum, family history and high fever.",Bronchial Asthma
"I’ve had mood swings, fatigue and irritability for a few days.",Hyperthyroidism
"I have been suffering from abnormal menstruation, mood swings, fast heart rate and sweating.",Hyperthyroidism
These days I feel yellowing of eyes and loss of appetite.,Hepatitis C
"Recently, I noticed stomach pain, ulcers on tongue, acidity and chest pain.",GERD
I think I’m having nodal skin eruptions and skin rash.,Fungal infection
Symptoms such as itching and dischromic  patches are bothering me.,Fungal infection
"Troubled by sweating, headache, nausea and vomiting lately.",Hypoglycemia
"These days I feel chills, watering from eyes and continuous sneezing.",Allergy
I feel discomfort due to itching and dischromic  patches.,Fungal infection
"I think I’m having fatigue, diarrhoea and fast heart rate.",Hyperthyroidism
I have been suffering from burning micturition and itching.,Drug Reaction
"Recently, I noticed altered sensorium, weakness of one body side and vomiting.",Paralysis (brain hemorrhage)
"Symptoms such as abdominal pain, vomiting, fluid overload, swelling of stomach and history of alcohol consumption are bothering me.",Alcoholic hepatitis
"Troubled by yellowish skin, dark urine, abdominal pain, nausea and loss of appetite lately.",Hepatitis D
My body is showing signs of loss of appetite and fatigue.,Hepatitis C
"I have been suffering from skin rash, small dents in nails, silver like dusting and inflammatory nails.",Psoriasis
"Troubled by ulcers on tongue, acidity and stomach pain lately.",GERD
"Recently, I noticed chest pain, headache and lack of concentration.",Hypertension 
I'm experiencing symptoms like high fever and muscle wasting.,AIDS
I feel discomfort due to continuous sneezing and watering from eyes.,Allergy
"Recently, I noticed fatigue and malaise.",Dengue
"I’ve had stomach pain, cough, acidity and vomiting for a few days.",GERD
"Recently, I noticed neck pain, painful walking, joint pain, hip joint pain and swelling joints.",Osteoarthristis
"My body is showing signs of abnormal menstruation, depression, dizziness and weight gain.",Hypothyroidism
"I'm experiencing symptoms like chills, continuous sneezing and watering from eyes.",Allergy
"I’ve had indigestion, loss of appetite, abdominal pain and vomiting for a few days.",Peptic ulcer diseae
"Troubled by sweating, chest pain and vomiting lately.",Heart attack
"I'm experiencing symptoms like skin rash, yellow crust ooze and blister.",Impetigo
"I’ve had sweating, yellowing of eyes, phlegm and vomiting for a few days.",Tuberculosis
"Recently, I noticed loss of balance, nausea and spinning movements.",(vertigo) Paroymsal  Positional Vertigo
"These days I feel chest pain, vomiting and sweating.",Heart attack
"Troubled by fatigue, swollen blood vessels and obesity lately.",Varicose veins
"I think I’m having restlessness, increased appetite, polyuria and lethargy.",Diabetes 
"Troubled by lethargy, brittle nails and enlarged thyroid lately.",Hypothyroidism
"Recently, I noticed cough, phlegm, chest pain and breathlessness.",Pneumonia
"I have been suffering from diarrhoea, sweating, nausea and headache.",Malaria
"Symptoms such as pain during bowel movements, bloody stool, irritation in anus, pain in anal region and constipation are bothering me.",Dimorphic hemmorhoids(piles)
"Recently, I noticed patches in throat, muscle wasting, extra marital contacts and high fever.",AIDS
"These days I feel headache, vomiting, nausea and sweating.",Malaria
"Recently, I noticed lethargy, increased appetite, blurred and distorted vision and weight loss.",Diabetes 
"My body is showing signs of loss of appetite, itching, nausea and vomiting.",Chronic cholestasis
"I'm experiencing symptoms like red spots over body, headache, skin rash and loss of appetite.",Chicken pox
"Recently, I noticed chest pain, swelled lymph nodes, weight loss and loss of appetite.",Tuberculosis
Symptoms such as stomach pain and ulcers on tongue are bothering me.,GERD
"I have been suffering from loss of appetite, nausea, yellowing of eyes and fatigue.",Hepatitis C
"Symptoms such as nausea, vomiting, muscle pain and high fever are bothering me.",Malaria
"I'm experiencing symptoms like abdominal pain, coma, acute liver failure, loss of appetite and yellowish skin.",Hepatitis E
"Recently, I noticed high fever, muscle wasting, extra marital contacts and patches in throat.",AIDS
"Troubled by yellowing of eyes, loss of appetite, stomach bleeding and fatigue lately.",Hepatitis E
I'm experiencing symptoms like itching and burning micturition.,Drug Reaction
"Troubled by malaise, mild fever, high fever and skin rash lately.",Chicken pox
I'm experiencing symptoms like fatigue and cough.,Bronchial Asthma
"Symptoms such as chest pain, fatigue, high fever, breathlessness and rusty sputum are bothering me.",Pneumonia
"I think I’m having itching, skin rash, burning micturition and stomach pain.",Drug Reaction
"I'm experiencing symptoms like skin rash, inflammatory nails, small dents in nails, silver like dusting and skin peeling.",Psoriasis
"I’ve had stomach pain, burning micturition and spotting  urination for a few days.",Drug Reaction
Symptoms such as breathlessness and rusty sputum are bothering me.,Pneumonia
